GAME_ID,WEEKDAY,DATE,TIME,AWAY,HOME,TV,POSTPONED
1,7,12/12/2020,7:00 pm ET,Toronto Raptors,Charlotte Hornets,NBA TV,0
2,7,12/12/2020,7:00 pm ET,Indiana Pacers,Cleveland Cavaliers,League Pass,0
3,7,12/12/2020,7:00 pm ET,Oklahoma City Thunder,San Antonio Spurs,League Pass,0
4,7,12/12/2020,8:00 pm ET,Dallas Mavericks,Milwaukee Bucks,League Pass,0
5,7,12/12/2020,8:00 pm ET,Memphis Grizzlies,Minnesota Timberwolves,League Pass,0
6,7,12/12/2020,8:30 pm ET,Denver Nuggets,Golden State Warriors,League Pass,0
7,7,12/12/2020,9:00 pm ET,Phoenix Suns,Utah Jazz,NBA TV,0
8,1,12/13/2020,5:00 pm ET,Orlando Magic,Atlanta Hawks,League Pass,0
9,1,12/13/2020,6:00 pm ET,Washington Wizards,Brooklyn Nets,NBA TV,0
10,1,12/13/2020,7:00 pm ET,New York Knicks,Detroit Pistons,League Pass,0
11,1,12/13/2020,8:00 pm ET,Houston Rockets,Chicago Bulls,League Pass,0
12,1,12/13/2020,8:30 pm ET,LA Clippers,Los Angeles Lakers,ESPN,0
13,1,12/13/2020,9:00 pm ET,Sacramento Kings,Portland Trail Blazers,League Pass,0
14,2,12/14/2020,6:00 pm ET,Indiana Pacers,Cleveland Cavaliers,League Pass,0
15,2,12/14/2020,7:00 pm ET,Toronto Raptors,Charlotte Hornets,League Pass,0
16,2,12/14/2020,7:00 pm ET,New Orleans Pelicans,Miami Heat,NBA TV,0
17,2,12/14/2020,8:00 pm ET,Dallas Mavericks,Milwaukee Bucks,League Pass,0
18,2,12/14/2020,8:00 pm ET,Memphis Grizzlies,Minnesota Timberwolves,League Pass,0
19,2,12/14/2020,9:00 pm ET,Phoenix Suns,Utah Jazz,NBA TV,0
20,3,12/15/2020,7:30 pm ET,Boston Celtics,Philadelphia 76ers,TNT,0
21,3,12/15/2020,8:00 pm ET,San Antonio Spurs,Houston Rockets,League Pass,0
22,3,12/15/2020,10:00 pm ET,Golden State Warriors,Sacramento Kings,TNT,0
23,4,12/16/2020,7:30 pm ET,Cleveland Cavaliers,New York Knicks,League Pass,0
24,4,12/16/2020,8:00 pm ET,Chicago Bulls,Oklahoma City Thunder,League Pass,0
